Scenario,FAILED_DOWNLINK_NETWORK,FAILED_E2E_TIMEOUT,FAILED_UPLINK_NETWORK,NONE
S1: Public Internet,0.0,63.47651053700203,0.005601064202198417,36.517888398795776
S2: Private APN (Atheer),0.09468307840025604,0.0,0.10635176763972422,99.79896515396001
S3: Private APN (with degr.),0.06093398817947224,24.386914176309,1.1031382668775493,74.44901356863399
